number,type,name_ja,related_mamodo_ja,related_partner_ja,cost,ad,class,attr_ja,effect_icon_ja,effect_ja,power,damage,flavor_ja,sets_ja,url,raw_header_lines
E-011,event,鉄のフォルゴレ,,,3,A,none,,,コインを投げてオモテなら、自分の捨て札のパートナーカード1枚を選び、場に出す。ウラなら、自分のMPを2へらすことで、コインを1回投げなおすことができる(何回でも投げなおすことができる)。,,,無敵フォルゴレ～♪　鉄のフォルゴレ～♪,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/359.html,イベント　MP3|自分のターン
E-012,event,ガッシュ登場,,,3,A,none,,,自分の魔本の好きなページから魔物カードを1枚選び、場に出す。,,,ガッシュはイギリスからオオワシに乗ってやってきた。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/67.html,イベント　MP3|自分のターン
E-013,event,ナオミちゃん,,,0,A,none,,,【スタンバイ】このターン中の次のバトル中、相手はダメージを魔物で「かばう」ことができない。,,,ガッシュをいじめる女の子。愛車はジュッデーム・ベーゼ号。,LEVEL:1　R|TBB1　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/66.html,イベント　MP0|自分のターン
E-014,event,ウマゴン,,,2,A,none,,,相手の魔本を1枚めくる。そうしたなら、相手の魔本の今のページを見る。,,,本名はシュナイダー。,LEVEL:1　UR自販機|TBB1　SR|FILE:1　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/65.html,イベント　MP2|自分のターン
E-015,event,バルカン３００,,,0,A,none,,,【ステイ】自分の魔物1体を選ぶ。次のターンのエンドフェイズまで、その魔物の魔力を+2000する。,,,ガッシュの友達。お菓子の空き箱とワリバシ製のハイパーボディ!,LEVEL:1　URパック,https://www27.atwiki.jp/zatchbell/pages/64.html,イベント　MP0　自分のターン
E-016,event,高嶺清太郎,,,3,A,none,,,相手の魔本を見て、最後のページ以外の好きなページから術カード1枚を選び、捨て札にする。そうしたなら、捨て札にしたカードの本来のコストだけ、自分のMPをへらせるだけへらす。,,,清麿の父。イギリスの森でガッシュを助けた。,LEVEL:2|TBB2,https://www27.atwiki.jp/zatchbell/pages/642.html,イベント　MP3|自分のターン
E-017,event,高嶺華,,,3,A,none,,,相手の魔本を見て、好きなページからイベントカード1枚を選び、捨て札にする。そうしたなら、捨て札にしたカードの本来のコストだけ、自分のMPをへらせるだけへらす。,,,清麿の母。いつも清麿とガッシュを気にかけている。,LEVEL:2|TBB2,https://www27.atwiki.jp/zatchbell/pages/643.html,イベント　MP3|自分のターン
E-018,event,フォルゴレのダンス,,,2,AD,none,,,相手のMPを4へらす。直前のターンに、自分が相手のMPをへらす効果を使っているとき、へらせるMPは0になる。,,,ボインボイ～ン♪チッチチッチ♪もげ!もげ!もげ!,LEVEL:2　R|TBB1　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/644.html,イベント　MP2|自分のターン　相手のターン
E-019,event,清麿の怒り,,,0,A,none,,,自分の場の魔物1体を選び、捨て札にする。,,,いいかげんにしろよ、おまえたち･･････。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター|TBB1　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/645.html,イベント　MP0|自分のターン
E-020,event,恵のコンサート,,,0,A,none,,,次の効果の両方を、この順で使う。●自分のMPを3をふやす。●相手はコインを投げる。オモテなら、相手のMPを3ふやす。,,,私の歌で、たくさんの人を元気にしたいの!!,LEVEL:2　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/646.html,イベント　MP0|自分のターン
E-021,event,敵じゃない人がいる,,,0,A,none,,,この効果は、自分の場に魔物が2体以上いれば使える。次の効果の、片方または両方を、好きな順で使う。●自分の「負傷状態」の魔物1体を選び、「健康状態」にする。●自分のMPを2ふやす。,,,信じられる人がいた･･･。こんな戦いのなかでも･･･。,LEVEL:2　R|TBB1　N,https://www27.atwiki.jp/zatchbell/pages/647.html,イベント　MP0|自分のターン
E-022,event,セッコロ,,,0,A,none,,,コインを投げる。オモテなら、自分の捨て札から、このターン中に捨て札になったパートナーカード1枚を選び、場に出す。,,,お前、オレの友達にならないか!?,LEVEL:2|TBB2,https://www27.atwiki.jp/zatchbell/pages/648.html,イベント　MP0|自分のターン
E-023,event,戦いの意義,,,0,A,none,,,【ステイ】次のターンのエンドフェイズまで、自分の場の、パートナーがついている魔物は、その魔力が＋2000される。,,,なぜこの戦いは、こんな弱い人間と組まねばならん･･･。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/649.html,イベント　MP0|自分のターン
E-024,event,プロフェッサー・ダルタニアン,,,0,AD,none,,,【ステイ】相手の魔物1体を選ぶ。このターン中、相手はその魔物の「魔物の効果」や術を使えない。,,,森の妖精･･････? (LEVEL:S),これは私の趣味ではない...断じてだ!!|LEVEL:2　UR自販機|TBB1　SR|LEVEL:S　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/650.html,イベント　MP0|自分のターン　相手のターン
E-025,event,ヨポポの踊り,,,0,A,none,,,【ステイ】このターン中、相手は「魔物の効果」を使えない。,,,ヨポポの不思議な歌と踊りは、魔物を惹きつける力をもつ。,LEVEL:2　SRパック,https://www27.atwiki.jp/zatchbell/pages/651.html,イベント　MP0|自分のターン
E-026,event,なんでワニなのよ！,,,0,A,none,,,コインを2回なげる。自分のMPを、オモテが出た回数×2ふやす。,,,焼くより生のほうが力がつくらしい?,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/652.html,イベント　MP0|自分のターン
E-027,event,無二の親友,,,2,A,none,,,次の効果の両方を、この順で使う。●相手は、相手の場のパートナーカードを1枚残してすべて選び、捨て札にする。パートナーがなければ、相手は、相手の魔本の好きなページからパートナーカード1枚を選び、場に出す。●自分は、自分の場のパートナーカードを1枚残してすべて選び、捨て札にする。パートナーがなければ、自分の魔本の好きなページからパートナーカード1枚を選び、場に出す。,,,出口のないトンネルなんてないもの。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/653.html,イベント　MP2|自分のターン
M-001,mamodo,ガッシュ・ベル,,高嶺清麿,,,none,,バトル,《やさしい王様》MPを1へらす→【ステイ】自分が攻撃するバトル中、この魔物の魔力を+1000する。,4000,,イギリスの森の中で倒れているところを、清麿の父に助けられた。,LEVEL:1　SRスターター|LEVEL:1　Nパック・自販機,https://w.atwiki.jp/zatchbell/pages/301.html,魔物　4000　バトル
M-002,mamodo,ガッシュ・ベル,,高嶺清麿,,,none,,,《おちこぼれガッシュ》このカードが場にある→自分のスタートフェイズに、自分のMPが2以下なら、自分のMPを1ふやす。,3000,,魔界ではガッシュは落ちこぼれだったらしい。,LEVEL:1　SRパック,https://www27.atwiki.jp/zatchbell/pages/302.html,魔物　3000
M-003,mamodo,ガッシュ・ベル,,高嶺清麿,,,none,,,《傷だらけのヒーロー》このカードが場にある→この魔物が「負傷状態」のとき、この魔物の魔力を+1000する。,4000,,どんな時もあきらめない勝利への執念が、ガッシュを強くする。,LEVEL:1　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/63.html,魔物　4000
M-004,mamodo,レイコム,,細川,,,none,,,《悪事の道具》このカードが場にある→この魔物にパートナーがついているとき、この魔物の魔力を＋1000する。,3000,,氷の術を使う魔物で、悪人に利用されても気にしない。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/303.html,魔物　3000
M-005,mamodo,ブラゴ,,シェリー,,,none,,バトル,《孤高の戦士》MPを2へらす→【ステイ】このバトル中、この魔物の「魔物の効果」や術のダメージを1ふやす。,5000,,昼夜を問わず相手を探し求め続ける強き魔物。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/68.html,魔物　5000　バトル
M-006,mamodo,ゴフレ,,連次,,,none,,,《偽りの友》このカードが場にある→【ステイ】このカードが場に出たターン中、相手は術カードを使えない。,2000,,気落ちしたガッシュが出会った子犬。しかしその正体は･･････,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/304.html,魔物　2000
M-007,mamodo,ゴフレ（変身後）,,連次,,,none,,,自分の「ゴフレ」に重ねる。《魔物の本性》このカードが場にある→このカードが場に出たとき、相手の魔本を1枚めくる。,3000,,呪文とともに、子犬が狂暴な魔物の姿に変身した。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/69.html,魔物　3000
M-008,mamodo,スギナ,,春彦,,,none,,,《策士》使用を宣言する→【スタンバイ】このターン中の次のバトルで、この魔物の術を本来より1低いコストで使うことができる。そうしたなら、その術の魔力は-1000される(0より小さくはならない)。,3500,,植物をあやつる魔物。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/305.html,魔物　3500
M-009,mamodo,コルル,,しおり,,,none,,,《優しい少女》このカードが場にある→このカードが捨て札になったとき、自分のMPを4ふやす。,1000,,普段は争いを好まない、優しい魔物。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/306.html,魔物　1000
M-010,mamodo,コルル（変身後）,,しおり,,,none,,バトル,自分の「コルル」に重ねる。《狂戦士》MPを1へらす→【ステイ】自分が防御するバトル中、この魔物の魔力を+1000する。,4000,,闘う意志のないコルルに、別の人格が与えられた姿。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/307.html,魔物　4000　バトル
M-011,mamodo,フェイン,,清兵衛,,,none,,,《索敵》使用を宣言する→相手の魔本を見て、好きなページから魔物カード1枚を選び、捨て札にする。ゲーム中に1回だけ使える。,3000,,私は王になる。力をつけて･･･誰もさからえない王になるの。,LEVEL:1|TBB1,https://www27.atwiki.jp/zatchbell/pages/292.html,魔物　3000
M-012,mamodo,キャンチョメ,,パルコ・フォルゴレ,,,none,,,《幸運の持ち主》使用を宣言する→自分が投げたコイン1個をふりなおす。,1000,,鉄のキャンチョメ～♪　無敵キャンチョメ～♪,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/308.html,魔物　1000
M-013,mamodo,キャンチョメ,,パルコ・フォルゴレ,,,none,,バトル,《無敵キャンチョメ》MPを2へらす→この効果は、このカードが「負傷状態」ならば使える。【ステイ】このバトル中、この魔物はダメージを受けない。,2000,,ポケットには、お菓子がたくさん入っているのだ。,LEVEL:1　UR自販機|TBB1　SR,https://www27.atwiki.jp/zatchbell/pages/309.html,魔物　2000　バトル
M-014,mamodo,ティオ,,大海恵,,,none,,,《信頼できる仲間》このカードが場にある→この効果は、自分の場にこの魔物以外の魔物がいるとき使える。自分の魔物すべてを選び、その魔力を+1000する(この魔物を含む)。,2000,,魔界にいるときには、ガッシュのことをいじめていたらしい。,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/310.html,魔物　2000
M-015,mamodo,ティオ,,大海恵,,,none,,バトル,《いじっぱり》MPを5へらす→【ステイ】このバトル中、この魔物はダメージを受けない。,3000,,私も...やさしい王様を目指してあげるわ･･･。,LEVEL:1　URパック,https://www27.atwiki.jp/zatchbell/pages/311.html,魔物　3000　バトル
M-016,mamodo,ガッシュ・ベル,,高嶺清麿,,,none,,,《失われた記憶》使用を宣言する→自分の魔本の今のページのカード1枚と、今より前のページのカード1枚を選び、入れかえる。ゲーム中に1回だけ使える。,4000,,いくぞ、清麿!!,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター|TBB2　N|FILE:1　N,https://www27.atwiki.jp/zatchbell/pages/617.html,魔物　4000
M-017,mamodo,ブラゴ,,シェリー,,,none,,バトル,《黒き魔物》MPを2へらす→【ステイ】自分が攻撃するバトル中、この魔物の魔力を+2000する。,5000,,オレとは戦いたくない奴が、山ほどいるのは確かだがな･･････。,LEVEL:2　SRスターター|LEVEL:2　Rパック・自販機,https://www27.atwiki.jp/zatchbell/pages/618.html,魔物　5000　バトル
M-018,mamodo,ブラゴ,,シェリー,,,none,,,《冷静沈着》MPを1へらす→自分のバトルフェイズに、相手の魔本の今のページを見る。そこに「バトル防御アイコン」を持つ術カードがなければ、自分のMPを2ふやす。,5000,,今すぐ息の根をとめてやろうか!?,LEVEL:2　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/619.html,魔物　5000
M-019,mamodo,キャンチョメ,,パルコ・フォルゴレ,,,none,,,《変な生き物》使用を宣言する→相手が投げたコイン1個をふりなおさせる。,1000,,モチャモチャモチャ！　モッチャ！,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/620.html,魔物　1000
M-020,mamodo,ティオ,,大海恵,,,none,,,《恵と一緒》MPを1へらす→自分の魔本の好きなページから、パートナーカード「大海恵」1枚を選び、場に出す。,3500,,恵は私が守る!!,LEVEL:2　SRパック,https://www27.atwiki.jp/zatchbell/pages/621.html,魔物　3500
M-021,mamodo,ハイド,,窪塚泳太,,,none,,,《風の乗り手》MPを1へらす→自分の魔本の好きなページから、パートナーカード「窪塚泳太」1枚を選び、場に出す。,3000,,風を操るＣＯＯＬな魔物。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/622.html,魔物　3000
M-022,mamodo,ゾフィス,,ココ,,,none,,,《心理操作》MPを5へらす→相手のパートナー1枚を選び、捨て札にする。,5500,,人間の心を操る能力を持った、冷徹な魔物。,LEVEL:2　URパック,https://www27.atwiki.jp/zatchbell/pages/623.html,魔物　5500
M-023,mamodo,ポッケリオ,,ペリコ,,,none,,,《植物の魔物》このカードが場にある→自分は、この魔物で、他の魔物の「木」属性の術を使うことができる。,3000,,密林でブラゴと遭遇した、木の術を使う魔物。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/624.html,魔物　3000
M-024,mamodo,ロブノス（分身体）,,リュック,,,none,,,「ロブノス（分身体）」を場に2体までおくことができる。《二身一体》このカードが場にある→この効果は、自分の「ロブノス（分身体）」が2体いるときに使える。自分は術カード「ビライツ」を、1枚につき、1ターンに2回使える。,3000,,我はロブノス。彫刻が趣味の不死身の魔物!!,LEVEL:2|TBB1,https://www27.atwiki.jp/zatchbell/pages/625.html,魔物　3000
M-025,mamodo,ロブノス（完全体）,,リュック,,,none,,,《フルパワー》このカードが場にある→このカードが場に出たとき、次の効果の両方を、この順で使う。●自分の捨て札の「ロブノス（完全体）」または「ロブノス（分身体）」1枚を選び、自分の魔本の空いているページにもどすことができる。●自分のMPを2ふやす。,5000,,お前は我々の半分の力と戦っていたにすぎないのさ!!,LEVEL:2　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/626.html,魔物　5000
M-026,mamodo,マルス,,レンブラント,,,none,,ジャマー,《裏切り者》MPを2へらす→相手が直前に使った「魔物の効果」1つを無効にする。,3500,,君は僕よりも弱いんだよ･････････。忘れるわけないだろ？,LEVEL:2|TBB1|RE,https://www27.atwiki.jp/zatchbell/pages/627.html,魔物　3500　ジャマー
M-027,mamodo,バルトロ（アーマー体）,,ステング,,A,none,,,「ゼベルオン」を使わないと場に出せない。この魔物が捨て札になるとき、下の「バルトロ(本体)」を場に残す。《偽りの鎧》MPを1へらす→合計魔力5000で攻撃(相手の魔本に2ダメージ)する。,5000,,凄まじい破壊力と巨大な体で相手に襲い掛かる。,LEVEL:2　SRパック,https://www27.atwiki.jp/zatchbell/pages/628.html,魔物　5000　バトル攻撃
M-028,mamodo,バルトロ（本体）,,ステング,,,none,,,《狂暴な本体》このカードが場にある→この魔物に重なっている「バルトロ(アーマー体)」が捨て札になったとき、相手の魔本を2枚めくる。,3000,,コイツは弱いから、あんな巨人に身を隠していたんだな!?,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/629.html,魔物　3000
M-029,mamodo,ゼオン,,デュフォー,,,none,,,自分は、この魔物で「ガッシュ・ベル」の術「ザケル」を使える。《憎悪》MPを7へらす→相手の「負傷状態」の魔物1体を選び、捨て札にする。,6000,,ガッシュを憎み、魔界の記憶を奪った謎の魔物。,LEVEL:2　UR自販機|TBB1　SR,https://www27.atwiki.jp/zatchbell/pages/630.html,魔物　6000
M-030,mamodo,ヨポポ,,ジェム,,,none,,,《トポポイ》使用を宣言する→この効果は、自分の魔本が最後のページのときに使える。【スタンバイ】このターンのエンドフェイズに、魔本をめくらずターンを終了する。ゲーム中1回だけ使える。,2000,,歌と踊りが大好きな、心優しき魔物。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター|TBB2　N,https://www27.atwiki.jp/zatchbell/pages/631.html,魔物　2000
M-031,mamodo,キクロプ,,イギリス紳士,,,none,,,《キクロプの鎧》このカードが場にある→この魔物は、合計魔力6000以下の術のダメージを受けない。,4000,,頑丈な岩石の体に守られた、防御力に長けた魔物。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/632.html,魔物　4000
P-001,partner,高嶺清麿,ガッシュ・ベル,,,,none,,,《SET!》このカードを捨て札にする→【スタンバイ】このターン中の次のバトルで、自分が「ガッシュ・ベル」の術で攻撃するとき、相手は防御できない。,,,天才ゆえに人生に退屈していたが、ガッシュとの出会いで変わる。,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/341.html,パートナー
P-002,partner,細川,レイコム,,,,none,,,《強盗》このカードを捨て札にする→相手のＭＰを3へらす。そうしたなら、へらした数と同じ数、自分のＭＰをふやす。,,,レイコムをみつけた細川は、レイコムを復讐の道具として使う。,LEVEL:1|TBB1|RE,https://www27.atwiki.jp/zatchbell/pages/282.html,パートナー
P-003,partner,シェリー,ブラゴ,,,,none,,バトル,《強き黒い力》このカードを捨て札にする→【ステイ】このバトル中、自分の「ブラゴ」による攻撃のダメージを+2する（重複しない）。,,,シェリーは、清麿に魔物の王の戦いから手を引くよう勧告する。,LEVEL:1　R|TBB1　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/342.html,パートナー　バトル
P-004,partner,連次,ゴフレ,,,,none,,バトル,《雨の日の訪問者》このカードを捨て札にする→【ステイ】このバトル中、自分の「ゴフレ」によるダメージを２倍にする（重複しない）。,,,もう少しオレを楽しませろよ･･････。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/343.html,パートナー　バトル
P-005,partner,春彦,スギナ,,,,none,,,《植物園のトレーニング》このカードを捨て札にする→【ステイ】このターン中、自分の「スギナ」の術すべての、本来のコストを0にする。,,,トレーニングのために植物園をおそう冷酷な男。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/344.html,パートナー
P-006,partner,しおり,コルル,,,,none,,バトル,《涙の想い》このカードを捨て札にする→【スタンバイ】このバトル中、自分の「コルル（変身後）」がダメージを受けるとき、そのダメージを受けない。そうしたなら、その「コルル（変身後）」を下のカードを残して捨て札にする。,,,コルルに出会ったしおりはお姉ちゃんになることを決める。,LEVEL:1　R|RE　R,https://www27.atwiki.jp/zatchbell/pages/345.html,パートナー　バトル
P-007,partner,清兵衛,フェイン,,,,none,,,《スカッとする力》このカードを捨て札にする→【スタンバイ】このターン中の次のバトルで、自分が使う「フェイン」の術の魔力を＋4000する。,,,この力、スカッとするぜ,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/346.html,パートナー
P-008,partner,パルコ・フォルゴレ,キャンチョメ,,,,none,,,《もげ!》このカードを捨て札にする→相手のパートナーカード1枚を選び、捨て札にする。,,,世界をまたにかけるスーパースター。,LEVEL:1　SR自販機|LEVEL:1　Nスターター|TBB1　R,https://w.atwiki.jp/zatchbell/pages/347.html,パートナー
P-009,partner,大海恵,ティオ,,,,none,,バトル,《アイドル》このカードを捨て札にする→このバトルの、相手が使った術1つを無効にする。,,,鈴芽も大ファンの、人気アイドル。,LEVEL:1　SRパック|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/348.html,パートナー　バトル
P-010,partner,高嶺清麿,ガッシュ・ベル,,,,none,,,《コンボ》このカードを捨て札にする→自分の魔本を1枚めくる。このターン中、自分は「自分の魔本をめくる」効果を合計１回しか使えない。,,,ガッシュ!!強くなれ!オレが何でもしてやる!,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター|TBB2　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/633.html,パートナー
P-011,partner,窪塚泳太,ハイド,,,,none,,,《女好き》このカードを捨て札にする→【ステイ】相手の魔物1体を選ぶ。このターン中、その魔物の魔力を0にする。,,,オレの女にしてやるyoo !,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/634.html,パートナー
P-012,partner,シェリー,ブラゴ,,,,none,,,《Destiny》このカードを捨て札にする→【ステイ】このターン中、自分の「ブラゴ」によるダメージを「かばって」、ダメージを受けた魔物は捨て札になる。,,,私の目的は、この戦いを早く終わらせること!!,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/635.html,パートナー
P-013,partner,ココ,ゾフィス,,,,none,,,《狂った笑み》このカードが場にある→相手の魔物カード1枚が捨て札になるたびに、相手の魔本を1枚めくる。,,,シェリーの親友であったが、ゾフィスに心を操られる。,LEVEL:2　SRパック,https://www27.atwiki.jp/zatchbell/pages/636.html,パートナー
P-014,partner,ペリコ,ポッケリオ,,,,none,,,《逃げて逃げて逃げまくれ》このカードを捨て札にする→【ステイ】このターン中、相手は術で攻撃できない。,,,ポッケリオの力を使い、大金持ちを目指す村人。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/637.html,パートナー
P-015,partner,リュック,ロブノス,,,,none,,,《ビライツ乱射》このカードを捨て札にする→【スタンバイ】このターン中に１回、自分は、自分の魔本の好きなページにある術カード「ビライツ」を使うことができる。,,,弱い者イジメが大好きな、実は気弱な男。,LEVEL:2|TBB1,https://www27.atwiki.jp/zatchbell/pages/638.html,パートナー
P-016,partner,レンブラント,マルス,,,,none,,バトル,《攻撃無効》このカードを捨て札にする→このバトルの、相手の術による攻撃1つを無効にする。,,,マルスと共に、残忍な戦いを好む。,LEVEL:2|TBB1|RE,https://www27.atwiki.jp/zatchbell/pages/639.html,パートナー　バトル
P-017,partner,ステング,バルトロ,,,,none,,バトル,《防御無効》このカードを捨て札にする→このバトルの、相手の術による防御1つを無効にする。,,,ククク･･････いい酒の肴が出来たぜ。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/640.html,パートナー　バトル
P-018,partner,ジェム,ヨポポ,,,,none,,,《大好きよ》このカードを捨て札にする→自分の魔本を1枚もどす。このターン中、自分は「自分の魔本をもどす」効果を合計１回しか使えない。パートナー＝ヨポポ,,,イギリスの小さな村に住む、おてんばな女の子。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター|TBB　N|RE　R,https://www27.atwiki.jp/zatchbell/pages/295.html,パートナー
P-019,partner,イギリス紳士,キクロプ,,,,none,,,《紳士協定》このカードが場にある→相手が相手自身の魔本のページを1枚もどすたびに、相手のＭＰを2へらす。,,,イギリス紳士の私が、礼儀を叩き込んであげるわ!!,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/641.html,パートナー
S-001,spell,ザケル,ガッシュ・ベル,,1,AD,none,雷,,相手の魔本にダメージ。,+2000,1,口から電撃がほとばしり、相手を攻撃する。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/312.html,術　MP1　＋2000　ダメージ1　雷|バトル攻撃　バトル防御
S-002,spell,ザケル,ガッシュ・ベル,,2,AD,none,雷,,相手の魔本にダメージ。,+2000,2,心にこめた力によって呪文の威力は変化する。,LEVEL:1　SR自販機|LEVEL:1　Nスターター|TBB1　R|FILE:1　N,https://w.atwiki.jp/zatchbell/pages/72.html,術　MP2　＋2000　ダメージ2　雷|バトル攻撃　バトル防御
S-003,spell,ラシルド,ガッシュ・ベル,,1,D,none,雷,,【カウンター】魔力勝負で勝ったとき、相手の魔本にダメージ。,+4000,1,相手の攻撃呪文を電撃付きではねかえす。,LEVEL:1|TBB2,https://w.atwiki.jp/zatchbell/pages/313.html,術　MP1　＋4000　ダメージ1　雷|バトル防御
S-004,spell,ジケルド,ガッシュ・ベル,,1,A,none,雷,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、コインを投げてオモテなら、次のターンのエンドフェイズまで、相手は術を使えない(【ステイ】)。,+2000,1,相手に強力な磁力をまとわせる呪文。,LEVEL:1|FILE:1,https://w.atwiki.jp/zatchbell/pages/314.html,術　MP1　＋2000　ダメージ1　雷|バトル攻撃
